"Your order %increment_id is still waiting for payment","Ihre Bestellung %increment_id wartet noch auf Ihre Zahlung"
"Hello %name,","Hallo %name,"
"Your order %increment_id is still waiting for payment.","Ihre Bestellung %increment_id wartet noch auf den Zahlungseingang."
"Bank","Bank"
"Account number","Kontonummer"
"BIC","BIC"
"Payment reference","Verwendungszweck"
"Amount due","Betrag"
"Please quote the reference exactly. Without it the payment cannot be matched to your order.","Bitte geben Sie den Verwendungszweck genau so an. Ohne ihn kann Ihre Zahlung der Bestellung nicht zugeordnet werden."
"Please quote order number %increment_id with your payment.","Bitte geben Sie bei Ihrer Zahlung die Bestellnummer %increment_id an."
"Please pay by %deadline. After that the order can no longer be completed.","Bitte bezahlen Sie bis %deadline. Danach kann die Bestellung nicht mehr abgeschlossen werden."
"View the payment details","Zahlungsdetails anzeigen"
"If you have already paid, please ignore this message.","Falls Sie bereits bezahlt haben, betrachten Sie diese Nachricht bitte als gegenstandslos."
"Delay (days) must be a whole number of at least 1.","Verzögerung (Tage) muss eine ganze Zahl von mindestens 1 sein."
"Each payment method may appear only once.","Jede Zahlungsart darf nur einmal vorkommen."
"Payment method","Zahlungsart"
"Delay (days)","Verzögerung (Tage)"
"Email template","E-Mail-Vorlage"
"Add rule","Regel hinzufügen"
