"Your order %increment_id is still waiting for payment","Your order %increment_id is still waiting for payment"
"Hello %name,","Hello %name,"
"Your order %increment_id is still waiting for payment.","Your order %increment_id is still waiting for payment."
"Bank","Bank"
"Account number","Account number"
"BIC","BIC"
"Payment reference","Payment reference"
"Amount due","Amount due"
"Please quote the reference exactly. Without it the payment cannot be matched to your order.","Please quote the reference exactly. Without it the payment cannot be matched to your order."
"Please quote order number %increment_id with your payment.","Please quote order number %increment_id with your payment."
"Please pay by %deadline. After that the order can no longer be completed.","Please pay by %deadline. After that the order can no longer be completed."
"View the payment details","View the payment details"
"If you have already paid, please ignore this message.","If you have already paid, please ignore this message."
"Delay (days) must be a whole number of at least 1.","Delay (days) must be a whole number of at least 1."
"Each payment method may appear only once.","Each payment method may appear only once."
"Payment method","Payment method"
"Delay (days)","Delay (days)"
"Email template","Email template"
"Add rule","Add rule"
