"Your order %increment_id is still waiting for payment","Il Suo ordine %increment_id è ancora in attesa di pagamento"
"Hello %name,","Gentile %name,"
"Your order %increment_id is still waiting for payment.","Il Suo ordine %increment_id è ancora in attesa di pagamento."
"Bank","Banca"
"Account number","Numero di conto"
"BIC","BIC"
"Payment reference","Causale"
"Amount due","Importo"
"Please quote the reference exactly. Without it the payment cannot be matched to your order.","Si prega di indicare la causale esattamente come riportata. Senza di essa il pagamento non può essere associato al Suo ordine."
"Please quote order number %increment_id with your payment.","Si prega di indicare il numero d'ordine %increment_id nel pagamento."
"Please pay by %deadline. After that the order can no longer be completed.","Si prega di effettuare il pagamento entro il %deadline. Dopo tale data l'ordine non potrà più essere completato."
"View the payment details","Visualizza i dettagli di pagamento"
"If you have already paid, please ignore this message.","Se ha già effettuato il pagamento, La preghiamo di ignorare questo messaggio."
